name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main
BAKE@DOME,14.0724934,100.6095193,"https://www.google.com/maps/place/BAKE@DOME/@14.0685255,100.6043406,17.63z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27f7882fdbbc3:0x913d2da122d7467f!8m2!3d14.0724934!4d100.6095193!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3CqAbEBEAEqEyIP4LiE4Liy4LmA4Lif4LmIKDUyHxABIhtIpYJFuEyHtMJE5X3wuUIU0U9t8KhSNhzQfQkydxACInPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11sbprt5c2?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.7,(31),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 13 ราย,oc_175,ci_175,option_175,review_175
นมสดพระนคร สาขา ม.ธรรมศาสตร์ รังสิต,14.0661358,100.6108141,"https://www.google.com/maps/place/%E0%B8%99%E0%B8%A1%E0%B8%AA%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%A1.%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@14.0685255,100.6043406,17.63z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x311d813091064a4b:0x6b96e106354dca8!8m2!3d14.0661358!4d100.6108141!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZaoBsQEQASoTIg_guITguLLguYDguJ_guYgoNTIfEAEiG0ilgkW4TIe0wkTlffC5QhTRT23wqFI2HNB9CTJ3EAIic-C4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYjgAQA!16s%2Fg%2F11y65x34m8?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.7,(161),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 57 ราย,oc_176,ci_176,option_176,review_176
วัน มอร์ คาเฟ่ ONE MORE COFFEE,14.0656183,100.6086772,"https://www.google.com/maps/place/%E0%B8%A7%E0%B8%B1%E0%B8%99+%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C+%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88+ONE+MORE+COFFEE/@14.0685255,100.6043406,17.63z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27fc6b48dc2dd:0x8be3ea28789be7ca!8m2!3d14.0656183!4d100.6086772!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3CqAbEBEAEqEyIP4LiE4Liy4LmA4Lif4LmIKDUyHxABIhtIpYJFuEyHtMJE5X3wuUIU0U9t8KhSNhzQfQkydxACInPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11h9lllpbq?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.3,(28),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 7 ราย,oc_177,ci_177,option_177,review_177
D'ORO K-Common ม.ธรรมศาสตร์ รังสิต,14.0751419,100.602272,"https://www.google.com/maps/place/D'ORO+K-Common+%E0%B8%A1.%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C+%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@14.0685255,100.6043406,17.63z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27f041967da45:0x2a6f4d05ebed70de!8m2!3d14.0751419!4d100.602272!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZaoBsQEQASoTIg_guITguLLguYDguJ_guYgoNTIfEAEiG0ilgkW4TIe0wkTlffC5QhTRT23wqFI2HNB9CTJ3EAIic-C4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYjgAQA!16s%2Fg%2F11mpzyc_6m?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.5,(24),฿1-100 ต่อคน,รายงานโดยผู้ใช้ 10 ราย,oc_178,ci_178,option_178,review_178
ENDLESSLY COFFEE TU,14.066791,100.602289,"https://www.google.com/maps/place/ENDLESSLY+COFFEE+TU/@14.0685255,100.6043406,17.63z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27f96f72ff251:0xdd5cbf93c4b09f18!8m2!3d14.066791!4d100.602289!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3CqAbEBEAEqEyIP4LiE4Liy4LmA4Lif4LmIKDUyHxABIhtIpYJFuEyHtMJE5X3wuUIU0U9t8KhSNhzQfQkydxACInPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11ww925bjc?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",5.0,(11),฿1-200 ต่อคน,รายงานโดยผู้ใช้ 4 ราย,oc_179,ci_179,option_179,review_179
Café Amazon สาขา ตรงข้ามโรงอาหารกลาง ม.ธรรมศาสตร์ ศูนย์รังสิต (SC1261),14.073262,100.601931,"https://www.google.com/maps/place/Caf%C3%A9+Amazon+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%95%E0%B8%A3%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87+%E0%B8%A1.%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+(SC1261)/@14.068561,100.6037084,18z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27f7437b95bd3:0x939867606057ad5a!8m2!3d14.073262!4d100.601931!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZaoBsQEQASoTIg_guITguLLguYDguJ_guYgoNTIfEAEiG0ilgkW4TIe0wkTlffC5QhTRT23wqFI2HNB9CTJ3EAIic-C4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYjgAQA!16s%2Fg%2F11v3szc98c?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.8,(9),,,oc_180,ci_180,option_180,review_180
Sand Cafe',14.0692201,100.6005734,"https://www.google.com/maps/place/Sand+Cafe'/@14.068561,100.6037084,18z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27fe97d5f8ea3:0xf56067d0596a0a58!8m2!3d14.0692201!4d100.6005734!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgEEY2FmZaoBsQEQASoTIg_guITguLLguYDguJ_guYgoNTIfEAEiG0ilgkW4TIe0wkTlffC5QhTRT23wqFI2HNB9CTJ3EAIic-C4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYjgAQA!16s%2Fg%2F11g691jddp?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.0,(4),,,oc_181,ci_181,option_181,review_181
Hotto Bun ธรรมศาสตร์,14.0692159,100.6010352,"https://www.google.com/maps/place/Hotto+Bun+%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C/@14.068561,100.6037084,18z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27fe9620d542d:0x36540e832139197d!8m2!3d14.0692159!4d100.6010352!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgEKcmVzdGF1cmFudKoBsQEQASoTIg_guITguLLguYDguJ_guYgoNTIfEAEiG0ilgkW4TIe0wkTlffC5QhTRT23wqFI2HNB9CTJ3EAIic-C4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmMIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYjgAQA!16s%2Fg%2F11b7hds8h3?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.4,(192),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 12 ราย,oc_182,ci_182,option_182,review_182
สตาร์บัคส์ (โรงพยาบาลธรรมศาสตร์เฉลิมพระเกียรติ),14.0742935,100.6165165,"https://www.google.com/maps/place/%E0%B8%AA%E0%B8%95%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B1%E0%B8%84%E0%B8%AA%E0%B9%8C+(%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%95%E0%B8%B4)/@14.068561,100.6037084,18z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30e27f6f742ac8bf:0xcb1bacd6ac1240ca!8m2!3d14.0742935!4d100.6165165!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3CqAbEBEAEqEyIP4LiE4Liy4LmA4Lif4LmIKDUyHxABIhtIpYJFuEyHtMJE5X3wuUIU0U9t8KhSNhzQfQkydxACInPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11h20gqcdm?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.5,(170),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 30 ราย,oc_183,ci_183,option_183,review_183
สตาร์บัคส์,14.0713954,100.6022491,"https://www.google.com/maps/place/%E0%B8%AA%E0%B8%95%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B1%E0%B8%84%E0%B8%AA%E0%B9%8C/@14.068561,100.6037084,18z/data=!4m11!1m3!2m2!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYg!6e5!3m6!1s0x30de11417d8e487d:0x845d94b6f445589d!8m2!3d14.0713954!4d100.6022491!15sCnHguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguJjguKPguKPguKHguKjguLLguKrguJXguKPguYwg4Lio4Li54LiZ4Lii4LmM4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iFp1InPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIkgELY29mZmVlX3Nob3CqAbEBEAEqEyIP4LiE4Liy4LmA4Lif4LmIKDUyHxABIhtIpYJFuEyHtMJE5X3wuUIU0U9t8KhSNhzQfQkydxACInPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4LiY4Lij4Lij4Lih4Lio4Liy4Liq4LiV4Lij4LmMIOC4qOC4ueC4meC4ouC5jCDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11bztzwbs2?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoASAFQAw%3D%3D",4.5,(297),฿100-200 ต่อคน,รายงานโดยผู้ใช้ 14 ราย,oc_184,ci_184,option_184,review_184
