name,lat,long,url,rating,comment,sal1,sal2,id_open_close_main,id_customer_main,id_option_main,id_review_main
Cafe Mikka มหาวิทยาลัยรังสิต,13.964464,100.5868694,"https://www.google.com/maps/place/Cafe+Mikka+%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e281371fc33a5d:0xe3d8b9a783f2bb7!8m2!3d13.964464!4d100.5868694!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQRjYWZlqgHFAQoNL2cvMTFma3l5YzVqahABKkgiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIKDUyHhABIhqYIgqdwsl5OeyenBO6EPzH8SpJvqEBE066DjJIEAIiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11qm36p8s_?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",3,-4,,,oc_300,ci_300,option_300,review_300
สภาเครป@ม.รังสิต,13.9653113,100.589619,"https://www.google.com/maps/place/%E0%B8%AA%E0%B8%A0%E0%B8%B2%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%9B@%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e2810522a3d5cb:0x582a00c02c0249a5!8m2!3d13.9653113!4d100.589619!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQGSAQpyZXN0YXVyYW50qgHFAQoNL2cvMTFma3l5YzVqahABKkgiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIKDUyHhABIhqYIgqdwsl5OeyenBO6EPzH8SpJvqEBE066DjJIEAIiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11f76xyl0v?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",5,-2,,,oc_301,ci_301,option_301,review_301
Decons cafe,13.9656101,100.5861424,"https://www.google.com/maps/place/Decons+cafe/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e281e903719a55:0xad68536487d4e972!8m2!3d13.9656101!4d100.5861424!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQtjb2ZmZWVfc2hvcKoBxQEKDS9nLzExZmt5eWM1amoQASpIIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iCg1Mh4QASIamCIKncLJeTnsnpwTuhD8x_EqSb6hARNOug4ySBACIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iOABAA!16s%2Fg%2F11x77mhh11?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,,,oc_302,ci_302,option_302,review_301
Magenta Duck Coffee,13.9758787,100.5924911,"https://www.google.com/maps/place/Magenta+Duck+Coffee/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e28193c580e09b:0xf64d1ee1aacef1df!8m2!3d13.9758787!4d100.5924911!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQRjYWZlqgHFAQoNL2cvMTFma3l5YzVqahABKkgiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIKDUyHhABIhqYIgqdwsl5OeyenBO6EPzH8SpJvqEBE066DjJIEAIiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F1pp2wxyck?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",3,-3,,,oc_303,ci_303,option_303,review_303
Kongsi Tea Bar กงสี ทีบาร์ (สาขา ม.รังสิต เมืองเอก),13.9629858,100.5871676,"https://www.google.com/maps/place/Kongsi+Tea+Bar+%E0%B8%81%E0%B8%87%E0%B8%AA%E0%B8%B5+%E0%B8%97%E0%B8%B5%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C+(%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AD%E0%B8%81)/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e281c30e8d65d1:0x59e6c11dc3b45a9b!8m2!3d13.9629858!4d100.5871676!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQRjYWZlqgHFAQoNL2cvMTFma3l5YzVqahABKkgiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIKDUyHhABIhqYIgqdwsl5OeyenBO6EPzH8SpJvqEBE066DjJIEAIiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11tcbs_5wx?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",5,-2,,,oc_304,ci_304,option_304,review_304
เพนกวิ้นมิลล์ที สาขา ม.รังสิต - Penguin Milk Tea RSU,13.9662593,100.5883593,"https://www.google.com/maps/place/%E0%B9%80%E0%B8%9E%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%8C%E0%B8%97%E0%B8%B5+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95+-+Penguin+Milk+Tea+RSU/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e2814cc7d56bfd:0xc87a2add8b52d267!8m2!3d13.9662593!4d100.5883593!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQtjb2ZmZWVfc2hvcKoBxQEKDS9nLzExZmt5eWM1amoQASpIIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iCg1Mh4QASIamCIKncLJeTnsnpwTuhD8x_EqSb6hARNOug4ySBACIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iOABAA!16s%2Fg%2F11t1tfrr08?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",5,-1,,,oc_305,ci_305,option_305,review_305
ป้าจอยมอรังสิต,13.9642255,100.5888851,"https://www.google.com/maps/place/%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%88%E0%B8%AD%E0%B8%A2%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e28170c1bb4bf3:0xf1c6e1056322c2c4!8m2!3d13.9642255!4d100.5888851!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSARFmYW1pbHlfcmVzdGF1cmFudKoBxQEKDS9nLzExZmt5eWM1amoQASpIIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iCg1Mh4QASIamCIKncLJeTnsnpwTuhD8x_EqSb6hARNOug4ySBACIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iOABAA!16s%2Fg%2F11l5wglmr6?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",4.7,-12,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 4 ราย,oc_306,ci_306,option_306,review_306
The Coffee Plus,13.9665927,100.5856287,"https://www.google.com/maps/place/The+Coffee+Plus/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e2818601245207:0x86c9a8e95e95294f!8m2!3d13.9665927!4d100.5856287!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQtjb2ZmZWVfc2hvcKoBxQEKDS9nLzExZmt5eWM1amoQASpIIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iCg1Mh4QASIamCIKncLJeTnsnpwTuhD8x_EqSb6hARNOug4ySBACIkTguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKIg4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iOABAA!16s%2Fg%2F11b7w89563?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",4.6,-8,฿1-100 ต่อคน,รายงานโดยผู้ใช้ 3 ราย,oc_307,ci_307,option_307,review_307
เลอมง ราเมง มหาวิทยาลัยรังสิต,13.9631158,100.5876283,"https://www.google.com/maps/place/%E0%B9%80%E0%B8%A5%E0%B8%AD%E0%B8%A1%E0%B8%87+%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%A1%E0%B8%87+%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e2813cf24adf61:0x23a7ce617d5ddbc2!8m2!3d13.9631158!4d100.5876283!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSARNqYXBhbmVzZV9yZXN0YXVyYW50qgHFAQoNL2cvMTFma3l5YzVqahABKkgiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIKDUyHhABIhqYIgqdwsl5OeyenBO6EPzH8SpJvqEBE066DjJIEAIiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11sy_xxnb4?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",4.4,-5,฿100-200 ต่อคน,รายงานโดยผู้ใช้ 3 ราย,oc_308,ci_308,option_308,review_308
OKC เมนูอกไก่@เมืองเอก ม.รังสิต,13.9640993,100.5943082,"https://www.google.com/maps/place/OKC+%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%B9%E0%B8%AD%E0%B8%81%E0%B9%84%E0%B8%81%E0%B9%88@%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AD%E0%B8%81+%E0%B8%A1.%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95/@13.9652902,100.5830658,15z/data=!4m10!1m2!2m1!1z4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4Lii4Lij4Lix4LiH4Liq4Li04LiVIOC4hOC4suC5gOC4n-C5iA!3m6!1s0x30e281287d75675f:0x4bf60bf2b822b14c!8m2!3d13.9640993!4d100.5943082!15sCkPguKHguKvguLLguKfguLTguJfguKLguLLguKXguLHguKLguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIIgOIAQFaRiJE4Lih4Lir4Liy4Lin4Li04LiX4Lii4Liy4Lil4Lix4LiiIOC4o-C4seC4h-C4quC4tOC4lSDguITguLLguYDguJ_guYiSAQpyZXN0YXVyYW50qgHFAQoNL2cvMTFma3l5YzVqahABKkgiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmIKDUyHhABIhqYIgqdwsl5OeyenBO6EPzH8SpJvqEBE066DjJIEAIiROC4oeC4q-C4suC4p-C4tOC4l-C4ouC4suC4peC4seC4oiDguKPguLHguIfguKrguLTguJUg4LiE4Liy4LmA4Lif4LmI4AEA!16s%2Fg%2F11jb3vkmt6?entry=ttu&g_ep=EgoyMDI1MDUwNy4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",4,-2,,,oc_309,ci_309,option_309,review_309
